VCD info: dumpfile control_unit_tb.vcd opened for output.
Time	instr			Zero	RegWrite ImmSrc ALUSrc ALUCtrl MemWrite ResultSrc PCSrc
0	003100b3	0	1	 000	   0	   00010	   0	    01	    00
10000	403100b3	0	1	 000	   0	   01010	   0	    01	    00
20000	003160b3	0	1	 000	   0	   00111	   0	    01	    00
30000	003170b3	0	1	 000	   0	   00011	   0	    01	    00
40000	003110b3	0	1	 000	   0	   00000	   0	    01	    00
50000	003150b3	0	1	 000	   0	   10000	   0	    01	    00
60000	003120b3	0	1	 000	   0	   01001	   0	    01	    00
70000	00510093	0	1	 000	   1	   00010	   0	    01	    00
80000	00516093	0	1	 000	   1	   00111	   0	    01	    00
90000	00517093	0	1	 000	   1	   00011	   0	    01	    00
100000	00311093	0	1	 000	   1	   00000	   0	    01	    00
110000	00315093	0	1	 000	   1	   10000	   0	    01	    00
120000	00512093	0	1	 000	   1	   01001	   0	    01	    00
130000	00812083	0	1	 000	   1	   00010	   0	    10	    00
140000	00312423	0	0	 001	   1	   00010	   1	    00	    00
150000	00310463	1	0	 010	   0	   01010	   0	    00	    01
160000	00310463	0	0	 010	   0	   01010	   0	    00	    00
170000	00311463	0	0	 010	   0	   01010	   0	    00	    01
180000	00311463	1	0	 010	   0	   01010	   0	    00	    00
190000	00314463	0	0	 010	   0	   01001	   0	    00	    01
200000	00314463	1	0	 010	   0	   01001	   0	    00	    00
210000	00315463	1	0	 010	   0	   01001	   0	    00	    01
220000	00315463	0	0	 010	   0	   01001	   0	    00	    00
230000	015000ef	0	1	 100	   0	   00000	   0	    11	    01
240000	004100e7	0	1	 000	   1	   00010	   0	    11	    10
250000	123450b7	0	1	 011	   0	   00000	   0	    00	    00
