t=0 reset=1 PC=xxxxxxxx Instr=xxxxxxxx CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=xxxxxxxx ALUResult=xxxxxxxx
t=5000 reset=1 PC=00000000 Instr=00000313 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=00000000 ALUResult=00000000
t=12000 reset=0 PC=00000000 Instr=00000313 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=00000000 ALUResult=00000000
t=15000 reset=0 PC=00000004 Instr=00000913 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=00000000 ALUResult=00000000
t=25000 reset=0 PC=00000008 Instr=00800e13 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=00000008 ALUResult=00000008
t=35000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=45000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=55000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000008 Result=00000006 ALUResult=00000006
t=65000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000008 Result=00000002 ALUResult=00000002
t=75000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000002 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000008 Result=00000001 ALUResult=00000001
t=85000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000002 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=95000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000002 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=105000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000002 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=115000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000006 B(s1)=00000002 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=0000000c ALUResult=0000000c
t=125000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000002 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=00000001 ALUResult=00000001
t=135000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=00000000 i(t1)=00000001 bit(t2)=00000000 limit(t3)=00000008 Result=00000002 ALUResult=00000002
t=145000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=00000000 i(t1)=00000002 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=155000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=00000000 i(t1)=00000002 bit(t2)=00000000 limit(t3)=00000008 Result=00000001 ALUResult=00000001
t=165000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=00000000 i(t1)=00000002 bit(t2)=00000001 limit(t3)=00000008 Result=00000008 ALUResult=00000001
t=175000 reset=0 PC=00000014 Instr=00890933 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=00000000 i(t1)=00000002 bit(t2)=00000001 limit(t3)=00000008 Result=0000000c ALUResult=0000000c
t=185000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=0000000c B(s1)=00000001 P(s2)=0000000c i(t1)=00000002 bit(t2)=00000001 limit(t3)=00000008 Result=00000018 ALUResult=00000018
t=195000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000001 P(s2)=0000000c i(t1)=00000002 bit(t2)=00000001 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=205000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000000 P(s2)=0000000c i(t1)=00000002 bit(t2)=00000001 limit(t3)=00000008 Result=00000003 ALUResult=00000003
t=215000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=225000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=235000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=245000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000018 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000000 limit(t3)=00000008 Result=00000030 ALUResult=00000030
t=255000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=265000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000003 bit(t2)=00000000 limit(t3)=00000008 Result=00000004 ALUResult=00000004
t=275000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=285000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=295000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=305000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000030 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000060 ALUResult=00000060
