t=0 reset=1 PC=xxxxxxxx Instr=xxxxxxxx CPUOut=xxxxxxxx A(s0)=0000000e B(s1)=0000000f P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=xxxxxxxx ALUResult=xxxxxxxx
t=245000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000070 B(s1)=00000001 P(s2)=00000062 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=00000001 ALUResult=00000001
t=255000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000070 B(s1)=00000001 P(s2)=00000062 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=00000008 ALUResult=00000001
t=265000 reset=0 PC=00000014 Instr=00890933 CPUOut=xxxxxxxx A(s0)=00000070 B(s1)=00000001 P(s2)=00000062 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=000000d2 ALUResult=000000d2
t=275000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000070 B(s1)=00000001 P(s2)=000000d2 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=000000e0 ALUResult=000000e0
t=285000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000001 P(s2)=000000d2 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=295000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000003 bit(t2)=00000001 limit(t3)=00000008 Result=00000004 ALUResult=00000004
t=305000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000001 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=315000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000001 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=325000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=335000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=000000e0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=000001c0 ALUResult=000001c0
t=345000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=000001c0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=355000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=000001c0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000005 ALUResult=00000005
t=365000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=000001c0 B(s1)=00000000 P(s2)=000000d2 i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
